Depth,N
0.0,
1.0,0.05548051283513976
2.0,0.052515695867774
3.0,0.05687943086216835
4.0,0.05859986579623918
5.0,0.05915646119844344
6.0,0.059585330392533026
7.0,0.056324709345273394
8.0,0.050372544594506595
9.0,0.047843499427401535
10.0,0.053753105627710435
11.0,0.053069689789177886
12.0,0.04567568126201126
13.0,0.04294237292746842
14.0,0.0454467655690086
15.0,0.041932685977246455
16.0,0.04015523473260157
17.0,0.04602917775769992
18.0,0.039611335580204646
19.0,0.03483616374167423
20.0,0.03742345772051049
21.0,0.0338540386503178
22.0,0.03460955625301064
23.0,0.03047924579111599
24.0,0.025061661212365808
25.0,0.01931659852687274
26.0,0.02066014043934742
27.0,0.01857065185207439
28.0,0.02085974227723459
29.0,0.023226089201926297
30.0,0.02631502408409405
31.0,0.028125837495454435
32.0,0.028377826495192198
33.0,0.032409158505300205
34.0,0.030935040983788405
35.0,0.02245176832894731
36.0,0.018840072758821783
37.0,0.019922849991883332
38.0,0.018615070905103056
39.0,0.01751541078211408
40.0,0.016991182988041607
41.0,0.014675872399556774
42.0,0.011889321084660266
43.0,0.010557219507444307
44.0,0.008954133502997728
45.0,0.008901078053861481
46.0,0.00914618177755308
47.0,0.008733956747787265
48.0,0.008201867629442488
49.0,0.008149189852022487
50.0,0.010668666943291716
51.0,0.011465934342623734
52.0,0.014445718126758688
53.0,0.013374099950608039
54.0,0.012976269553669121
55.0,0.013205101088466936
56.0,0.018268952989571437
57.0,0.017706360428501385
58.0,0.016501328321998226
59.0,0.015718323945323687
60.0,0.014110417907487221
61.0,0.015361185674541861
62.0,0.015729806142280065
63.0,0.01746902201787513
64.0,0.01593936642521907
65.0,0.01648878722298684
66.0,0.021384812876958172
67.0,0.014882667492469796
68.0,0.016267175892170256
69.0,0.01602604516206172
70.0,0.013966408623901479
71.0,0.01384926819040514
72.0,0.013753550171422163
73.0,0.01234792754780177
74.0,0.00904457186578863
75.0,0.0077824280184414915
76.0,0.010006898480605354
77.0,0.008232053937274149
78.0,0.008860893846396111
79.0,0.00877628325435032
80.0,0.008167236994426206
81.0,0.007925769537472059
82.0,0.007916111768873716
83.0,0.008381707172595645
84.0,0.00832071962781627
85.0,0.009090044252887305
86.0,0.008097398062806353
87.0,0.008414890046676896
88.0,0.008616223218290859
89.0,0.007943442876453755
90.0,0.008789555362185873
91.0,0.008048214678602996
92.0,0.008001930747161368
93.0,0.007952055727261766
94.0,0.008715130512589186
95.0,0.009045525617848436
96.0,0.009368536186183572
97.0,0.008813531536426571
98.0,0.008774369592434815
99.0,0.00872393044354185
100.0,0.010666590084578993
101.0,0.011220595650357644
102.0,0.012756988817245712
103.0,0.012956182679501072
104.0,0.012680834581801675
105.0,0.014675943259669477
106.0,0.015249268576681192
107.0,0.01724910187801926
108.0,0.018888792041109742
109.0,0.01385638587904588
110.0,0.015307026055485671
111.0,0.01623876980864347
112.0,0.016531200779346035
113.0,0.01642935751249278
114.0,0.01676027565371817
115.0,0.015608850865973667
116.0,0.014362725825711043
117.0,0.011738538142451068
118.0,0.01015572784382696
119.0,0.009961749668478567
120.0,0.011242281302843396
121.0,0.009722082737944018
122.0,0.008944526547872853
123.0,0.008087430316061
124.0,0.007679449285255016
125.0,0.008393412111193219
126.0,0.007342204771620335
127.0,0.007374911292832461
128.0,0.007359267282447908
129.0,0.006136141788080503
130.0,0.007297242255154124
131.0,0.007697658674688341
132.0,0.007687956656965917
133.0,0.00793406309091288
134.0,0.009387202317690111
135.0,0.009352328024665731
136.0,0.008561460531050336
137.0,0.009292900035017645
138.0,0.009053387893490578
139.0,0.008761628268924591
140.0,0.011607234120045481
141.0,0.011205782790672181
142.0,0.010594629193029562
143.0,0.010837861671843542
144.0,0.011383548267116695
145.0,0.012494234683369087
146.0,0.013166364449759601
147.0,0.01629431009814822
148.0,0.012005898376218606
149.0,0.013728003366521937
150.0,0.014888479271532699
151.0,0.013398555408602535
152.0,0.013737465332657253
153.0,0.014276249116938108
154.0,0.011267868553201466
155.0,0.011638755813980906
156.0,0.012331208024062826
157.0,0.011076039457748214
158.0,0.010825313992650047
159.0,0.009299261675600723
160.0,0.01015644386519959
161.0,0.010451844657489138
162.0,0.009321761291620611
163.0,0.010287649577403385
164.0,0.00976649855439295
165.0,0.009241382903707988
166.0,0.011589679481325627
167.0,0.009917327428576995
168.0,0.009492532426785652
169.0,0.009923919645838011
170.0,0.010644205266291291
171.0,0.012563377772619467
172.0,0.010425991879924318
173.0,0.009623122098087217
174.0,0.009324591302105783
175.0,0.009083848972057466
176.0,0.01232633098178762
177.0,0.009762966177843417
178.0,0.008891313291545886
179.0,0.009226793710421325
180.0,0.011902740541511777
181.0,0.011027033115110468
182.0,0.011775988518684648
183.0,0.010024620161133622
184.0,0.012637113086876066
185.0,0.015565921867518625
186.0,0.01158086603309254
187.0,0.013501667703360584
188.0,0.012325631489831682
189.0,0.014595690890381475
190.0,0.014222992752199485
191.0,0.013858322509634298
192.0,0.01411540748277232
193.0,0.013135135919372713
194.0,0.012244181349810923
195.0,0.010124423099689509
196.0,0.012287648554001508
197.0,0.008521239051765658
198.0,0.012608177791431857
199.0,0.00942300981264301
200.0,0.008551395637190758
201.0,0.00850848978422559
202.0,0.008184788075102869
203.0,0.00905067715920857
204.0,0.009054084405805438
205.0,0.007848124197750498
206.0,0.00825455597621058
207.0,0.007937046523517555
208.0,0.008101538278185166
209.0,0.007931641829993386
210.0,0.0077580520019682134
211.0,0.008144285354325952
212.0,0.009293730372206224
213.0,0.00887702628197107
214.0,0.009889398430113872
215.0,0.007031312123838066
216.0,0.006383610043727646
217.0,0.008003238042261471
218.0,0.006472866715842297
219.0,0.007212094584205713
220.0,0.006807200294098371
221.0,0.008984137886924691
222.0,0.008878488399287596
223.0,0.007463394257467419
224.0,0.00868387280881883
225.0,0.0071251825029094926
226.0,0.00628918434899558
227.0,0.006071957223314107
228.0,0.007552345342869101
229.0,0.007072353683100592
230.0,0.006951004117086242
231.0,0.006386920301511123
232.0,0.007136209673818333
233.0,0.007047210684382346
234.0,0.0067849859798711255
235.0,0.007231571177680775
236.0,0.006558553123252771
237.0,0.006539031219894028
238.0,0.008404546394396521
239.0,0.00717183450352055
240.0,0.007218821711314759
241.0,0.007562742154423802
242.0,0.00639932120295096
243.0,0.00881053973118418
244.0,0.008528084991656573
245.0,0.006901973022257374
246.0,0.007195022908427783
247.0,0.006911226929659765
248.0,0.004529548433808455
249.0,0.007547566131076918
250.0,0.007511412448371665
251.0,0.004293059445459009
252.0,0.007497513965346434
253.0,0.006695316645076231
254.0,0.005447685843087403
255.0,0.008759708737424588
256.0,0.002935152416042936
257.0,0.004942885387876303
258.0,0.007295228399893151
259.0,0.00178086518729754
260.0,0.006238357999829881
261.0,0.007400372421351453
262.0,0.006920554511480407
263.0,0.006703685602570108
264.0,0.0064868166936598096
265.0,0.007001669682599959
266.0,0.0030263682239515615
267.0,0.010076320169368349
268.0,0.009009195172825538
269.0,0.009524673516338854
270.0,0.00817619580347916
271.0,0.008471665988493027
272.0,0.01136966516796118
273.0,0.006549953472800166
274.0,0.005558590165307238
275.0,0.008556929515962052
276.0,0.010297197084900329
277.0,0.01002459635159348
278.0,0.009751995618286633
279.0,0.0060126927651460715
280.0,0.004493104573393149
281.0,0.01866511496294856
282.0,0.005334898320625575
283.0,0.00481830480745537
284.0,0.0003470816250960026
285.0,0.008161655716538261
286.0,0.006634398988351086
287.0,0.006063776068479291
288.0,0.0008835583598272188
289.0,0.0026092600121580085
290.0,0.004334961664488798
291.0,0.0047965084051616105
292.0,0.006656866624935212
293.0,0.006219016739441579
